,date_new,PM2.5_avg_conc,PRCP,TAVG
184,02-07-2008,93.91666667,0,77
185,03-07-2008,101.625,0,85
186,04-07-2008,138.0416667,0,84
187,05-07-2008,30.54166667,1.09,76
188,06-07-2008,25.66666667,0.01,83
189,07-07-2008,80.125,0,82
190,08-07-2008,118.9090909,0.04,77
191,09-07-2008,61,0.01,78
192,10-07-2008,NA,0,82
193,11-07-2008,157,0,81
194,12-07-2008,43.36363636,0,85
195,13-07-2008,53.9375,0,84
196,14-07-2008,70.04166667,0.02,78
197,15-07-2008,27.83333333,1.33,74
198,16-07-2008,90.5,0,81
199,17-07-2008,92.61538462,0,85
200,18-07-2008,72.375,0.31,79
201,19-07-2008,58.8125,0,78
202,20-07-2008,43.53333333,0,81
203,21-07-2008,74.8125,0,81
204,22-07-2008,75.15384615,0,84
205,23-07-2008,137.4705882,0,84
206,24-07-2008,179.2631579,0,83
207,25-07-2008,156.6666667,0,84
208,26-07-2008,146.5625,0,86
209,27-07-2008,202.0833333,0,84
210,28-07-2008,119.3684211,0,84
211,29-07-2008,69.20833333,0.01,80
212,30-07-2008,66.66666667,0,79
213,31-07-2008,64.91666667,0.22,80
214,01-08-2008,21.58333333,0,81
215,02-08-2008,25.69230769,0,83
216,03-08-2008,40.28571429,0,84
217,04-08-2008,124.9166667,0,83
218,05-08-2008,72.44444444,0,83
219,06-08-2008,101.875,0,83
220,07-08-2008,138.375,0,83
221,08-08-2008,144.9583333,0,86
222,09-08-2008,96.04166667,0,86
223,10-08-2008,98.58333333,0.78,80
224,11-08-2008,27.54166667,1.8,75
225,12-08-2008,37.29166667,0.63,79
226,13-08-2008,75.16666667,0,80
227,14-08-2008,44.29166667,0.78,75
228,15-08-2008,17.6875,0.25,78
229,16-08-2008,13.78571429,0,78
230,17-08-2008,36.20833333,0,73
231,18-08-2008,25.625,0,75
232,19-08-2008,38.30434783,0,79
233,20-08-2008,61.83333333,0,80
234,21-08-2008,49.83333333,0.21,71
235,22-08-2008,41,0,76
236,23-08-2008,33.94117647,0,81
237,24-08-2008,46.95238095,0,83
238,25-08-2008,55.16666667,0,79
239,26-08-2008,66.16666667,0.01,76
240,27-08-2008,74.5,0.01,76
241,28-08-2008,121.2916667,0,78
242,29-08-2008,130.9583333,0.33,76
243,30-08-2008,67.08333333,0.39,72
244,31-08-2008,10.3,0,73
245,01-09-2008,17.73333333,0,74
246,02-09-2008,29.61111111,0,78
247,03-09-2008,78.20833333,0,75
248,04-09-2008,52.16666667,0.07,73
249,05-09-2008,42.45833333,0,74
250,06-09-2008,103,0,76
251,07-09-2008,79.08333333,0.98,71
252,08-09-2008,70.5,0,72
253,09-09-2008,68.08333333,0.41,71
254,10-09-2008,38.60869565,0.58,72
255,11-09-2008,36.79166667,0,73
256,12-09-2008,42.08333333,0,75
257,13-09-2008,39.95833333,0,73
258,14-09-2008,63.75,0,74
259,15-09-2008,44.75,0.12,74
260,16-09-2008,86.39130435,0.81,72
261,17-09-2008,71.79166667,0,72
262,18-09-2008,69.45833333,0,75
263,19-09-2008,75.375,0.15,70
264,20-09-2008,70.75,0,72
265,21-09-2008,136.25,1.02,70
266,22-09-2008,31.25,0.28,73
267,23-09-2008,9.875,0,65
268,24-09-2008,21.875,0.26,54
269,25-09-2008,21.125,0,63
270,26-09-2008,11.625,0,62
271,27-09-2008,42.20833333,0,60
272,28-09-2008,90.9,0,59
273,29-09-2008,137.3846154,0,57
274,30-09-2008,141.3333333,0,63
275,01-10-2008,163.5833333,0,63
276,02-10-2008,211.5,0,66
277,03-10-2008,101.2083333,0,66
278,04-10-2008,51.83333333,0,60
279,05-10-2008,21.75,0.7,53
280,06-10-2008,25.45833333,0,55
281,07-10-2008,79.20833333,0,57
282,08-10-2008,53.25,0.03,61
283,09-10-2008,62,0.08,54
284,10-10-2008,24.75,0,58
285,11-10-2008,30.5,0,59
286,12-10-2008,58.16666667,0,60
287,13-10-2008,156.1666667,0,60
288,14-10-2008,149.5217391,0,62
289,15-10-2008,62,0,65
290,16-10-2008,57.33333333,0.02,65
291,17-10-2008,224.2083333,0,62
292,18-10-2008,148.7916667,0,62
293,19-10-2008,115.0833333,0,61
294,20-10-2008,176.5833333,0,59
295,21-10-2008,160.8333333,0,63
296,22-10-2008,133.5416667,0,63
297,23-10-2008,5.875,0.39,53
298,24-10-2008,18.70833333,0,49
299,25-10-2008,29.16666667,0,53
300,26-10-2008,10.08333333,0,56
301,27-10-2008,26.16666667,0,55
302,28-10-2008,83.52173913,0,53
303,29-10-2008,46.58333333,0,49
304,30-10-2008,80.125,0,48
305,31-10-2008,49.25,0,53
306,01-11-2008,65.58333333,0,50
307,02-11-2008,31.75,0,51
308,03-11-2008,18.875,0,53
309,04-11-2008,111.625,0,48
310,05-11-2008,153.25,0,50
311,06-11-2008,48.66666667,0,59
312,07-11-2008,NA,0,50
313,08-11-2008,NA,0,42
314,09-11-2008,NA,0,42
315,10-11-2008,NA,0,42
316,11-11-2008,NA,0,40
317,12-11-2008,NA,0,44
318,13-11-2008,NA,0,49
319,14-11-2008,NA,0,45
320,15-11-2008,NA,0,45
321,16-11-2008,NA,0,41
322,17-11-2008,NA,0,38
323,18-11-2008,NA,0,34
324,19-11-2008,NA,0,31
325,20-11-2008,NA,0,39
326,21-11-2008,NA,0,41
327,22-11-2008,NA,0,39
328,23-11-2008,NA,0,38
329,24-11-2008,NA,0,43
330,25-11-2008,NA,0,44
331,26-11-2008,NA,0,38
332,27-11-2008,NA,0,39
333,28-11-2008,NA,0,40
334,29-11-2008,NA,0,45
335,30-11-2008,NA,0,41
336,01-12-2008,NA,0,45
337,02-12-2008,NA,0,38
338,03-12-2008,NA,0,43
339,04-12-2008,NA,0,27
340,05-12-2008,NA,0,21
341,06-12-2008,NA,0,27
342,07-12-2008,NA,0,29
343,08-12-2008,NA,0,34
344,09-12-2008,NA,0,36
345,10-12-2008,NA,0,35
346,11-12-2008,NA,0,28
347,12-12-2008,NA,0,31
348,13-12-2008,NA,0,31
349,14-12-2008,NA,0,32
350,15-12-2008,NA,0,34
351,16-12-2008,NA,0,31
352,17-12-2008,NA,0,36
353,18-12-2008,NA,0,30
354,19-12-2008,NA,0,32
355,20-12-2008,NA,0,29
356,21-12-2008,NA,0,17
357,22-12-2008,NA,0,18
358,23-12-2008,NA,0,25
359,24-12-2008,NA,0,29
360,25-12-2008,NA,0,31
361,26-12-2008,NA,0,27
362,27-12-2008,NA,0,29
363,28-12-2008,NA,0,28
364,29-12-2008,NA,0,29
365,30-12-2008,NA,0,28
366,31-12-2008,NA,0,28
368,01-01-2009,NA,0,25
369,02-01-2009,NA,0,29
370,03-01-2009,NA,0,25
371,04-01-2009,NA,0,25
372,05-01-2009,NA,0,28
373,06-01-2009,NA,0,27
374,07-01-2009,NA,0,28
375,08-01-2009,NA,0,23
376,09-01-2009,NA,0,26
377,10-01-2009,NA,0,25
378,11-01-2009,NA,0,26
379,12-01-2009,NA,0,27
380,13-01-2009,NA,0,24
381,14-01-2009,NA,0,23
382,15-01-2009,NA,0,26
383,16-01-2009,NA,0,27
384,17-01-2009,NA,0,31
385,18-01-2009,NA,0,30
386,19-01-2009,NA,0,33
387,20-01-2009,NA,0,30
388,21-01-2009,NA,0,21
389,22-01-2009,NA,0,15
390,23-01-2009,NA,0,24
391,24-01-2009,NA,0,30
392,25-01-2009,NA,0,29
393,26-01-2009,NA,0,24
394,27-01-2009,NA,0,30
395,28-01-2009,NA,0,33
396,29-01-2009,NA,0,31
397,30-01-2009,NA,0,29
398,31-01-2009,NA,0,29
399,01-02-2009,NA,0,33
400,02-02-2009,NA,0,31
401,03-02-2009,NA,0,28
402,04-02-2009,NA,0,35
403,05-02-2009,NA,0,33
404,06-02-2009,NA,0,41
405,07-02-2009,NA,0,35
406,08-02-2009,NA,0,38
407,09-02-2009,NA,0,45
408,10-02-2009,NA,0,44
409,11-02-2009,NA,0.34,38
410,12-02-2009,NA,0.1,43
411,13-02-2009,NA,0,40
412,14-02-2009,NA,0,28
413,15-02-2009,NA,0,29
414,16-02-2009,NA,0.02,26
415,17-02-2009,61.66666667,0.04,27
416,18-02-2009,89.66666667,0.21,27
417,19-02-2009,89.45833333,0,28
418,20-02-2009,28.45833333,0,30
419,21-02-2009,113.4583333,0,35
420,22-02-2009,19.41666667,0,30
421,23-02-2009,75.41666667,0,36
422,24-02-2009,70.95833333,0,33
423,25-02-2009,23.875,0,34
424,26-02-2009,80.18181818,0,36
425,27-02-2009,NA,0,35
426,28-02-2009,NA,0,36
427,01-03-2009,NA,0,32
428,02-03-2009,NA,0,37
429,03-03-2009,205.625,0,35
430,04-03-2009,270.5833333,0.05,41
431,05-03-2009,81.75,0,40
432,06-03-2009,20,0,43
433,07-03-2009,116,0,49
434,08-03-2009,126.7916667,0,45
435,09-03-2009,20.45833333,0,40
436,10-03-2009,72.66666667,0,42
437,11-03-2009,83,0.03,46
438,12-03-2009,78.45833333,0,35
439,13-03-2009,24.875,0,42
440,14-03-2009,54.66666667,0,53
441,15-03-2009,84.95833333,0,53
442,16-03-2009,76.625,0,56
443,17-03-2009,203.25,0,65
444,18-03-2009,253.2916667,0,54
445,19-03-2009,82.54166667,0,49
446,20-03-2009,54.04166667,0.01,51
447,21-03-2009,102.4166667,0,46
448,22-03-2009,15.79166667,0,43
449,23-03-2009,59.83333333,0.2,42
450,24-03-2009,24.95833333,0,49
451,25-03-2009,15.58333333,0,50
452,26-03-2009,25.04166667,0,45
453,27-03-2009,56.95833333,0,42
454,28-03-2009,52.625,0,39
455,29-03-2009,68.625,0,41
456,30-03-2009,66.33333333,0,43
457,31-03-2009,22.08695652,0,49
458,01-04-2009,16.91666667,0,51
459,02-04-2009,85.20833333,0,53
460,03-04-2009,76.66666667,0,56
461,04-04-2009,107.75,0,60
462,05-04-2009,47.54166667,0,65
463,06-04-2009,33.83333333,0,67
464,07-04-2009,121.9090909,0,68
465,08-04-2009,181.0588235,0,68
466,09-04-2009,106.25,0,66
467,10-04-2009,110.3333333,0,64
468,11-04-2009,139.25,0,65
469,12-04-2009,229.2083333,0,67
470,13-04-2009,156.125,0,63
471,14-04-2009,59.29166667,0.02,56
472,15-04-2009,30.54166667,0,54
473,16-04-2009,64.95833333,0,60
474,17-04-2009,113.8333333,0,62
475,18-04-2009,109.8333333,0.41,53
476,19-04-2009,87.29166667,0,60
477,20-04-2009,46.91666667,0,65
478,21-04-2009,13.5,0,58
479,22-04-2009,64.35,0.17,51
480,23-04-2009,86.45833333,0.63,56
481,24-04-2009,80.83333333,0,60
482,25-04-2009,18.16666667,0,63
483,26-04-2009,20.78571429,0,65
484,27-04-2009,56,0,65
485,28-04-2009,74.63636364,0,63
486,29-04-2009,99.75,0.04,70
487,30-04-2009,131.0833333,0.03,66
488,01-05-2009,74.83333333,0,68
489,02-05-2009,60.36842105,0,72
490,03-05-2009,80.92307692,0,74
491,04-05-2009,NA,0,73
492,05-05-2009,NA,0,74
